Factor,Average Return (Ann. %),Volatility (Ann. %),Sharpe Ratio,CAPM Beta,CAPM Alpha (Ann. %),FF4 Alpha (Ann. %),Average Return (Ann. %)_rank,Volatility (Ann. %)_rank,Sharpe Ratio_rank,CAPM Beta_rank,CAPM Alpha (Ann. %)_rank,FF4 Alpha (Ann. %)_rank,total_factors
age,-9.751616003166786,13.084317908647133,-0.745290359898865,0.1961025211833976,-10.90981694220261,-9.749592818996566,153,153,153,2,153,153,153
aliq_at,0.30854239491119295,8.274106988119396,0.03729011425090612,-0.1500461027352614,1.6562009907678643,1.1533330329896119,123,107,125,124,106,118,153
aliq_mat,-4.315750041254454,7.875739019322327,-0.5479803267561556,-0.00875098899919352,-4.156922927051809,-3.4387532249642416,152,95,152,43,151,151,153
ami_126d,-0.05807096403322061,5.784965432305544,-0.010038256012547505,-0.14159373981514356,1.21546966946382,1.2777580127112165,134,51,134,121,114,112,153
at_be,-0.8668986934624527,9.039879516204941,-0.09589715127380238,-0.027943943643153397,-0.6164846179507966,-0.1886270720068861,147,116,143,59,145,138,153
at_gr1,0.88189854424693,6.650650292048692,0.132603355389367,-0.10906245972623985,1.8682232537929444,1.483021964591491,112,70,112,112,99,104,153
at_me,4.244893788015925,10.450738735112289,0.4061812179605995,0.05341505276412357,3.835382635868134,4.0449693962235855,27,143,55,12,56,39,153
at_turnover,1.3299592042706092,5.761961735482149,0.23081708371659654,0.013053771781564518,1.2205728341322164,1.2676552378274586,99,49,88,26,113,114,153
be_gr1a,1.678258728199548,9.13463850348243,0.1837247010442438,-0.06386841938363663,2.2698839242618396,1.9722069897754047,86,121,102,88,87,88,153
be_me,4.758193627024574,10.372486516405978,0.4587322065445565,0.028057007913158453,4.602863284754566,5.274278151047351,16,141,45,19,39,14,153
beta_60m,1.120875465525897,11.460552444343318,0.09780291752681931,-0.5087302658524552,5.85652024913359,4.170603321148469,106,149,116,152,21,37,153
beta_dimson_21d,0.753048265771575,9.564490248528175,0.07873375853851253,-0.34771621681655496,3.916694848778346,2.779955066227724,116,129,119,145,51,65,153
betabab_1260d,2.9616435057202994,11.829952998177784,0.25035124874769105,-0.5452490880572654,8.127098856083848,6.502209979891216,51,151,85,153,3,4,153
betadown_252d,1.7737517894908634,11.574712311523891,0.15324370418475972,-0.458214722947805,5.874568388694379,4.386877766671393,83,150,109,151,20,32,153
bev_mev,4.679802651847815,9.836067975724161,0.47577982008641767,0.0532299030272958,4.288165629668095,4.704954151800833,19,134,41,13,46,28,153
bidaskhl_21d,-3.0654747252804913,7.286355551494085,-0.4207144029159966,0.2829516153989652,-5.462207809380482,-4.304388861316255,151,85,150,1,152,152,153
capex_abn,1.6369625784887722,4.632221261915348,0.35338609404247556,0.0075563782251569685,1.5801941959569188,1.2048218384542508,88,20,65,27,107,115,153
capx_gr1,2.4742356826722434,6.456707574995757,0.3832039245906021,-0.09461961892187618,3.3523412081254866,2.913226712005379,64,65,60,106,60,59,153
capx_gr2,3.175329971881604,6.501287284128146,0.4884155757327729,-0.06900427807199055,3.8427960674858763,2.9631358531531315,45,66,36,91,55,57,153
capx_gr3,3.5589061433180023,6.02668063755931,0.5905250928908174,-0.11260089652811792,4.5885497914341045,3.909992071553603,37,57,18,113,40,41,153
cash_at,0.5312698316909308,7.543181422333737,0.07043047249506093,0.09463016256989265,-0.31037489265524076,0.17035715471411805,119,90,120,11,141,132,153
chcsho_12m,2.9276389540986636,5.533291831194842,0.5290953456663208,-0.10144034282864683,3.893312618452227,3.395757307880909,53,43,26,108,53,48,153
coa_gr1a,1.4460094409333213,6.26448620807422,0.2308265024304112,-0.10372836759361229,2.394952646352788,1.9793392400243137,95,62,87,109,83,87,153
col_gr1a,-0.142987366099747,6.828811491699678,-0.020938836322183747,-0.08335074046592422,0.6003731076574814,0.33291680298155324,136,72,135,100,123,129,153
cop_at,4.17638519985828,6.8703216077967655,0.6078878745819876,-0.05296118191074287,4.7494834582539225,4.388996155381242,28,73,12,80,37,31,153
cop_atl1,3.019660036728239,7.104630523706761,0.4250270336581508,-0.021222297775777308,3.2567181497052955,3.1534638496622636,49,80,49,53,62,54,153
corr_1260d,0.12429639591838856,7.896126167148148,0.015741439952609168,-0.27386625029719963,2.6047786814831664,1.7444066398087488,128,96,130,138,79,99,153
coskew_21d,1.4554289444088704,3.9810478787293455,0.3655894098097128,-0.03433695225103761,1.7753488619303148,1.4766016507163693,93,11,63,63,102,105,153
cowc_gr1a,2.1283925058068953,4.525427948666531,0.4703185046696083,-0.04288915620326287,2.539129931050832,2.3998042635456462,75,18,43,72,80,71,153
dbnetis_at,1.2964076594396943,6.88147382702744,0.18839098891112077,-0.05632672264906104,1.812528625420362,1.9016724625578574,101,75,100,82,100,92,153
debt_gr3,2.0118944644755703,3.9058263212041333,0.5151008516567425,-0.08744850389894154,2.8231135855856015,2.4317075822405165,78,10,30,102,72,69,153
debt_me,1.9939616294569678,9.94429040192022,0.2005132140018697,0.027405896583020842,1.7641905631791577,1.9112540612739704,79,135,97,20,103,91,153
dgp_dsale,-0.7373437263552131,5.383297471568446,-0.13696878729987494,-0.04016980813956029,-0.3827905480938365,-0.2589205792870697,143,39,145,70,143,142,153
div12m_me,5.03518282093277,7.342202680059915,0.6857864104742584,-0.045853076242190746,5.573745436185185,6.033923890206316,9,86,9,76,26,6,153
dolvol_126d,0.5204784577671565,6.046050092038131,0.0860857005555676,-0.20729124180434216,2.4011133896431947,2.3804869364171477,120,58,118,134,82,72,153
dolvol_var_126d,0.8208604301089729,5.09213665180469,0.16120157141070712,0.13038441943847112,-0.34512553742783725,-0.17292465299466597,113,28,108,7,142,137,153
dsale_dinv,0.9713064177533577,4.2317546345188495,0.2295280567144213,-0.012427744270417583,1.0844110293494857,1.1895033057013338,109,15,89,47,118,116,153
dsale_drec,-0.2613804924611393,5.178762978433982,-0.050471607515078586,-0.03061685738586383,0.008342093304958276,-0.2259588595902473,139,31,138,61,133,141,153
dsale_dsga,0.7068115944128144,4.091914596634762,0.17273371125440995,0.016188524322601545,0.5664794500550796,0.5488334037250464,117,14,106,22,124,124,153
earnings_variability,0.026378641332570233,3.7023382339939346,0.007124859930507756,-0.07938181385144093,0.7386279054405032,0.5399246606610841,133,8,133,97,122,125,153
ebit_bev,1.8690250450132304,8.177762997683155,0.22854967129063836,-0.036858365051219456,2.2192760334086348,2.025230730778671,81,106,90,66,89,83,153
ebit_sale,0.778826469065745,6.546063965358109,0.1189762998325878,-0.08065564095620625,1.506866293035447,1.2715944522031064,114,68,113,99,110,113,153
ebitda_mev,5.333482475385773,9.716402331869272,0.5489153591234319,-0.047875082972670194,5.914006302393404,6.208452673199605,5,132,25,77,19,5,153
emp_gr1,2.784811527746355,6.873612789153897,0.40514524358145426,-0.10867295587864155,3.8808368362300616,3.289529042179362,56,74,56,111,54,50,153
eq_dur,5.042056027277273,9.704468444305176,0.5195602475513306,-0.013189497634707694,5.283577986007404,5.610906460336484,8,131,29,49,30,8,153
